                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.1864,                0.17666,                0.15663,                0.84249,                0.99975,                      1,                  0.995,                0.99476,                0.99975,                      1,                  0.995,                  0.995,                0.13263,                 0.1491,                0.09884,                0.75743,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.1879,                0.17676,                0.15668,                0.84299,                0.99975,                      1,                  0.995,                0.99497,                0.99975,                      1,                  0.995,                  0.995,                0.12194,                0.13986,                0.09625,                0.75585,               0.000416,               0.000416,               0.000416
                     83,                0.18597,                0.17642,                0.15652,                0.84174,                0.99975,                      1,                  0.995,                0.99498,                0.99975,                      1,                  0.995,                  0.995,                0.13196,                0.14073,                 0.0927,                 0.7587,              0.0003962,              0.0003962,              0.0003962
                     84,                0.17581,                0.17216,                0.14768,                0.83833,                0.99975,                      1,                  0.995,                0.99458,                0.99975,                      1,                  0.995,                  0.995,                0.13274,                 0.1415,                0.09753,                0.75886,              0.0003764,              0.0003764,              0.0003764
                     85,                0.17559,                0.16635,                0.14759,                0.83815,                0.99976,                      1,                  0.995,                0.99492,                0.99976,                      1,                  0.995,                  0.995,                0.12314,                0.14372,                 0.0979,                0.75714,              0.0003566,              0.0003566,              0.0003566
                     86,                0.17509,                0.17726,                0.14882,                0.83742,                0.99975,                      1,                  0.995,                0.99489,                0.99975,                      1,                  0.995,                  0.995,                0.12373,                0.14273,                0.09047,                0.75653,              0.0003368,              0.0003368,              0.0003368
                     87,                0.17626,                  0.168,                 0.1487,                0.83415,                0.99975,                      1,                  0.995,                  0.995,                0.99975,                      1,                  0.995,                  0.995,                0.12295,                0.14459,                0.09523,                0.75681,               0.000317,               0.000317,               0.000317
                     88,                0.17595,                0.16749,                0.15775,                0.83683,                0.99975,                      1,                  0.995,                0.99493,                0.99975,                      1,                  0.995,                  0.995,                0.12921,                0.14271,                0.09418,                0.75772,              0.0002972,              0.0002972,              0.0002972
                     89,                0.17596,                0.16776,                0.15376,                 0.8421,                0.99975,                      1,                  0.995,                0.99498,                0.99975,                      1,                  0.995,                  0.995,                 0.1205,                0.13956,                0.08962,                0.75626,              0.0002774,              0.0002774,              0.0002774
                     90,                0.16882,                0.17125,                0.13953,                0.83662,                0.99975,                      1,                  0.995,                0.99492,                0.99975,                      1,                  0.995,                  0.995,                 0.1142,                0.14272,                0.09056,                0.75442,              0.0002576,              0.0002576,              0.0002576
                     91,                0.12819,                0.13646,                0.11081,                0.78723,                0.99975,                      1,                  0.995,                0.99498,                0.99975,                      1,                  0.995,                  0.995,                0.11966,                0.12892,                0.09356,                 0.7551,              0.0002378,              0.0002378,              0.0002378
                     92,                0.12887,                0.13269,                0.11394,                 0.7843,                0.99976,                      1,                  0.995,                  0.995,                0.99976,                      1,                  0.995,                  0.995,                0.11677,                0.12926,                0.09103,                0.75553,               0.000218,               0.000218,               0.000218
                     93,                0.12956,                0.13243,                0.11902,                0.78616,                0.99974,                      1,                  0.995,                0.99484,                0.99974,                      1,                  0.995,                  0.995,                 0.1209,                0.12857,                 0.0945,                0.75548,              0.0001982,              0.0001982,              0.0001982
                     94,                0.12665,                0.12836,                0.11072,                0.77807,                0.99975,                      1,                  0.995,                  0.995,                0.99975,                      1,                  0.995,                  0.995,                 0.1178,                0.12868,                0.09255,                0.75656,              0.0001784,              0.0001784,              0.0001784
                     95,                0.12363,                0.12898,                0.10725,                0.78525,                0.99976,                      1,                  0.995,                0.99497,                0.99976,                      1,                  0.995,                  0.995,                  0.112,                0.12733,                0.08695,                0.75427,              0.0001586,              0.0001586,              0.0001586
                     96,                0.11881,                0.12993,                0.10495,                0.78279,                0.99975,                      1,                  0.995,                0.99495,                0.99975,                      1,                  0.995,                  0.995,                0.11067,                0.12829,                0.08467,                0.75431,              0.0001388,              0.0001388,              0.0001388
                     97,                0.11832,                 0.1296,                0.10383,                0.78252,                0.99976,                      1,                  0.995,                0.99497,                0.99976,                      1,                  0.995,                  0.995,                0.11228,                0.12786,                0.08565,                0.75488,               0.000119,               0.000119,               0.000119
                     98,                0.11907,                0.12797,                0.10392,                0.77622,                0.99975,                      1,                  0.995,                  0.995,                0.99975,                      1,                  0.995,                  0.995,                0.11161,                0.12793,                 0.0827,                0.75493,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.11429,                0.12945,                0.10116,                0.78179,                0.99975,                      1,                  0.995,                  0.995,                0.99975,                      1,                  0.995,                  0.995,                0.11111,                0.12786,                0.08311,                0.75436,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.11333,                0.12623,                0.09977,                 0.7796,                0.99975,                      1,                  0.995,                  0.995,                0.99975,                      1,                  0.995,                  0.995,                0.11145,                0.12691,                0.08021,                0.75465,               5.96e-05,               5.96e-05,               5.96e-05
